('algorithm', 'MR')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.3)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.05)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.5143
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8303
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.5788
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5393
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8152
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8643
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.7910
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7711
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.5133
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8725
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.6945
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8377
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.7269
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.3970
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.9096
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.4774
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7603
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.6070
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5275
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.5147
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7530
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5842
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.7063
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8762
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5435
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.4909
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6536
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.7692
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8980
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.4940
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6520
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5725
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5033
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5760
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.8188
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.4917
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8208
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.8110
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7978
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.6074
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.4852
Round 0 global test acc  11.0206
Round 1 global test acc  33.5258
Round 2 global test acc  58.7010
Round 3 global test acc  69.8557
Round 4 global test acc  60.6598
Round 5 global test acc  82.8969
Round 6 global test acc  78.9278
Round 7 global test acc  86.7216
Round 8 global test acc  85.7835
Round 9 global test acc  84.9485
Round 10 global test acc  80.6392
Round 11 global test acc  84.3505
Round 12 global test acc  85.0928
Round 13 global test acc  80.1340
Round 14 global test acc  88.1753
Round 15 global test acc  83.9072
Round 16 global test acc  88.2268
Round 17 global test acc  88.2680
Round 18 global test acc  90.4742
Round 19 global test acc  90.6289
Round 20 global test acc  89.9381
Round 21 global test acc  85.1856
Round 22 global test acc  85.4742
Round 23 global test acc  88.0825
Round 24 global test acc  84.6082
Round 25 global test acc  88.9072
Round 26 global test acc  89.0000
Round 27 global test acc  85.8763
Round 28 global test acc  89.9794
Round 29 global test acc  91.8763
Round 30 global test acc  91.8866
Round 31 global test acc  90.4742
Round 32 global test acc  86.6289
Round 33 global test acc  87.7732
Round 34 global test acc  88.8557
Round 35 global test acc  88.8866
Round 36 global test acc  87.5258
Round 37 global test acc  89.1031
Round 38 global test acc  88.6082
Round 39 global test acc  89.8557
Round 40 global test acc  83.0619
Round 41 global test acc  88.8351
Round 42 global test acc  88.1649
Round 43 global test acc  88.7423
Round 44 global test acc  88.7216
Round 45 global test acc  77.5361
Round 46 global test acc  86.9381
Round 47 global test acc  87.7938
Round 48 global test acc  87.3918
Round 49 global test acc  87.6289
Round 50 global test acc  88.6392
Round 51 global test acc  88.2268
Round 52 global test acc  88.4639
Round 53 global test acc  88.4330
Round 54 global test acc  88.0309
Round 55 global test acc  89.6701
Round 56 global test acc  88.6907
Round 57 global test acc  88.8351
Round 58 global test acc  88.8144
Round 59 global test acc  88.0000
Round 60 global test acc  88.3814
Round 61 global test acc  87.7216
Round 62 global test acc  87.3814
Round 63 global test acc  88.2165
Round 64 global test acc  87.3711
Round 65 global test acc  88.1443
Round 66 global test acc  88.5258
Round 67 global test acc  88.5155
Round 68 global test acc  87.0722
Round 69 global test acc  87.2474
Round 70 global test acc  87.8247
Round 71 global test acc  88.8144
Round 72 global test acc  89.2062
Round 73 global test acc  87.5670
Round 74 global test acc  89.5773
Round 75 global test acc  87.4433
Round 76 global test acc  88.4124
Round 77 global test acc  88.0722
Round 78 global test acc  86.6701
Round 79 global test acc  88.3093
Round 80 global test acc  88.9381
Round 81 global test acc  88.9175
Round 82 global test acc  87.1443
Round 83 global test acc  86.4433
Round 84 global test acc  87.3608
Round 85 global test acc  85.5361
Round 86 global test acc  88.8557
Round 87 global test acc  88.5773
Round 88 global test acc  87.9381
Round 89 global test acc  83.8660
Round 90 global test acc  86.3918
Round 91 global test acc  87.5567
Round 92 global test acc  88.5773
Round 93 global test acc  88.6907
Round 94 global test acc  88.3814
Round 95 global test acc  89.4433
Round 96 global test acc  88.2577
Round 97 global test acc  88.3299
Round 98 global test acc  88.6907
Round 99 global test acc  89.3093
Round 100 global test acc  89.1856
Round 101 global test acc  88.3299
Round 102 global test acc  88.0928
Round 103 global test acc  89.8969
Round 104 global test acc  87.9381
Round 105 global test acc  87.7938
Round 106 global test acc  88.6804
Round 107 global test acc  89.0103
Round 108 global test acc  88.8660
Round 109 global test acc  87.8351
Round 110 global test acc  87.6804
Round 111 global test acc  88.4433
Round 112 global test acc  89.5670
Round 113 global test acc  89.7113
Round 114 global test acc  88.9691
Round 115 global test acc  87.8247
Round 116 global test acc  86.7526
Round 117 global test acc  87.3196
Round 118 global test acc  83.2577
Round 119 global test acc  89.4433
Round 120 global test acc  89.1443
Round 121 global test acc  89.9072
Round 122 global test acc  88.5670
Round 123 global test acc  87.6082
Round 124 global test acc  87.6907
Round 125 global test acc  87.9381
Round 126 global test acc  87.6598
Round 127 global test acc  88.1340
Round 128 global test acc  88.7010
Round 129 global test acc  88.2887
Round 130 global test acc  88.4948
Round 131 global test acc  88.8351
Round 132 global test acc  85.9278
Round 133 global test acc  87.9381
Round 134 global test acc  89.8247
Round 135 global test acc  89.0928
Round 136 global test acc  83.9691
Round 137 global test acc  88.1856
Round 138 global test acc  88.8557
Round 139 global test acc  89.2680
Round 140 global test acc  87.8557
Round 141 global test acc  88.1753
Round 142 global test acc  88.2887
Round 143 global test acc  87.7320
Round 144 global test acc  87.1443
Round 145 global test acc  88.4639
Round 146 global test acc  86.9072
Round 147 global test acc  88.1649
Round 148 global test acc  85.1546
Round 149 global test acc  85.3711
Round 150 global test acc  88.2577
Round 151 global test acc  89.0000
Round 152 global test acc  88.0515
Round 153 global test acc  88.0928
Round 154 global test acc  81.6186
Round 155 global test acc  87.2371
Round 156 global test acc  88.7938
Round 157 global test acc  87.5773
Round 158 global test acc  87.5979
Round 159 global test acc  89.4021
Round 160 global test acc  87.3918
Round 161 global test acc  87.0825
Round 162 global test acc  86.3711
Round 163 global test acc  88.2990
Round 164 global test acc  87.3299
Round 165 global test acc  87.4433
Round 166 global test acc  87.2371
Round 167 global test acc  87.1031
Round 168 global test acc  86.6289
Round 169 global test acc  85.8763
Round 170 global test acc  87.6701
Round 171 global test acc  88.4948
Round 172 global test acc  87.1340
Round 173 global test acc  83.3814
Round 174 global test acc  85.4021
Round 175 global test acc  88.5258
Round 176 global test acc  87.7320
Round 177 global test acc  87.0515
Round 178 global test acc  86.4742
Round 179 global test acc  87.6186
Round 180 global test acc  87.0103
Round 181 global test acc  86.6804
Round 182 global test acc  86.1134
Round 183 global test acc  86.9485
Round 184 global test acc  86.7835
Round 185 global test acc  87.0206
Round 186 global test acc  87.8866
Round 187 global test acc  86.6186
Round 188 global test acc  86.0825
Round 189 global test acc  87.1340
Round 190 global test acc  86.7835
Round 191 global test acc  87.1134
Round 192 global test acc  86.7113
Round 193 global test acc  87.8763
Round 194 global test acc  88.1237
Round 195 global test acc  87.9175
Round 196 global test acc  54.7835
Round 197 global test acc  85.8454
Round 198 global test acc  86.1649
Round 199 global test acc  87.2062
time : 688.6959612369537
('algorithm', 'MR')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.7)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('device', device(type='cuda', index=0))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7246
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8945
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5863
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5462
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8438
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5505
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7686
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.4975
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5147
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.4797
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.7860
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.5239
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.4766
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5722
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5656
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.4783
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5541
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7879
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.8094
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5637
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7104
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8576
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.7075
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6143
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4587
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.7994
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8317
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.5128
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.4994
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8310
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.7163
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.6114
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.5356
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.4549
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.7110
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7773
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8770
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.7865
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6257
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7923
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.5292
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7315
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.7937
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4747
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6454
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5376
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.5800
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.6126
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.6361
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.5342
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7791
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4717
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.7145
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5167
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6861
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5867
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.5974
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6975
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.4883
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.4568
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8292
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.6735
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.4595
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8247
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8611
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.8268
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7509
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.5076
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8838
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.7172
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8569
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.7381
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.4213
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.9006
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.5201
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7743
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.5892
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5305
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.5348
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7599
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5672
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.7118
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8460
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5071
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.5259
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6227
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.7450
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.9047
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.5244
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6458
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.6416
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5183
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5378
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.8071
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.5014
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8471
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.7848
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7466
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.5551
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.5122
Round 0 global test acc  28.3505
Round 1 global test acc  47.1546
Round 2 global test acc  75.0515
Round 3 global test acc  68.3402
Round 4 global test acc  77.2268
Round 5 global test acc  85.6186
Round 6 global test acc  85.4330
Round 7 global test acc  86.8557
Round 8 global test acc  85.9588
Round 9 global test acc  85.7629
Round 10 global test acc  87.3505
Round 11 global test acc  90.1134
Round 12 global test acc  90.4639
Round 13 global test acc  90.7216
Round 14 global test acc  89.7938
Round 15 global test acc  90.0619
Round 16 global test acc  79.7113
Round 17 global test acc  87.2680
Round 18 global test acc  91.0928
Round 19 global test acc  90.4124
Round 20 global test acc  87.9794
Round 21 global test acc  91.6289
Round 22 global test acc  91.9381
Round 23 global test acc  91.5464
Round 24 global test acc  91.1959
Round 25 global test acc  90.4845
Round 26 global test acc  91.5567
Round 27 global test acc  90.7526
Round 28 global test acc  92.2784
Round 29 global test acc  92.6495
Round 30 global test acc  92.8454
Round 31 global test acc  91.7010
Round 32 global test acc  92.7629
Round 33 global test acc  91.5670
Round 34 global test acc  92.1237
Round 35 global test acc  93.0515
Round 36 global test acc  92.4227
Round 37 global test acc  92.7216
Round 38 global test acc  91.1340
Round 39 global test acc  92.2474
Round 40 global test acc  92.5876
Round 41 global test acc  91.9175
Round 42 global test acc  91.6289
Round 43 global test acc  90.7010
Round 44 global test acc  84.7526
Round 45 global test acc  91.4124
Round 46 global test acc  91.8557
Round 47 global test acc  92.5567
Round 48 global test acc  92.7938
Round 49 global test acc  92.0309
Round 50 global test acc  92.6804
Round 51 global test acc  92.3711
Round 52 global test acc  92.5155
Round 53 global test acc  93.0000
Round 54 global test acc  93.0000
Round 55 global test acc  93.2784
Round 56 global test acc  92.6392
Round 57 global test acc  92.8454
Round 58 global test acc  93.0206
Round 59 global test acc  92.9381
Round 60 global test acc  92.6907
Round 61 global test acc  92.5773
Round 62 global test acc  92.6598
Round 63 global test acc  92.7629
Round 64 global test acc  92.0412
Round 65 global test acc  90.8041
Round 66 global test acc  92.0103
Round 67 global test acc  92.3093
Round 68 global test acc  93.2577
Round 69 global test acc  92.7320
Round 70 global test acc  93.2062
Round 71 global test acc  93.0515
Round 72 global test acc  91.4433
Round 73 global test acc  92.5670
Round 74 global test acc  92.5361
Round 75 global test acc  92.2680
Round 76 global test acc  92.8763
Round 77 global test acc  92.5155
Round 78 global test acc  93.0515
Round 79 global test acc  92.7113
Round 80 global test acc  92.8144
Round 81 global test acc  92.9485
Round 82 global test acc  93.1340
Round 83 global test acc  93.6495
Round 84 global test acc  93.5773
Round 85 global test acc  93.4845
Round 86 global test acc  92.7526
Round 87 global test acc  92.7320
Round 88 global test acc  93.5464
Round 89 global test acc  93.6907
Round 90 global test acc  93.7113
Round 91 global test acc  93.0206
Round 92 global test acc  93.0928
Round 93 global test acc  92.9072
Round 94 global test acc  93.5567
Round 95 global test acc  92.7526
Round 96 global test acc  92.6907
Round 97 global test acc  92.9897
Round 98 global test acc  93.1856
Round 99 global test acc  93.0619
Round 100 global test acc  93.3711
Round 101 global test acc  93.1443
Round 102 global test acc  93.0515
Round 103 global test acc  93.1031
Round 104 global test acc  92.8866
Round 105 global test acc  93.0825
Round 106 global test acc  93.1546
Round 107 global test acc  92.8557
Round 108 global test acc  93.1134
Round 109 global test acc  92.9381
Round 110 global test acc  91.8454
Round 111 global test acc  92.0825
Round 112 global test acc  92.5876
Round 113 global test acc  90.7526
Round 114 global test acc  90.8969
Round 115 global test acc  92.1134
Round 116 global test acc  92.7113
Round 117 global test acc  92.8247
Round 118 global test acc  91.6186
Round 119 global test acc  91.5052
Round 120 global test acc  92.0515
Round 121 global test acc  92.4433
Round 122 global test acc  92.1237
Round 123 global test acc  91.9691
Round 124 global test acc  92.1237
Round 125 global test acc  92.7732
Round 126 global test acc  91.6289
Round 127 global test acc  92.1753
Round 128 global test acc  92.8247
Round 129 global test acc  91.9691
Round 130 global test acc  91.4742
Round 131 global test acc  91.5567
Round 132 global test acc  92.4948
Round 133 global test acc  93.1237
Round 134 global test acc  91.2680
Round 135 global test acc  91.8247
Round 136 global test acc  91.2887
Round 137 global test acc  91.8969
Round 138 global test acc  83.2784
Round 139 global test acc  88.0825
Round 140 global test acc  89.8247
Round 141 global test acc  91.0928
Round 142 global test acc  91.3505
Round 143 global test acc  90.3505
Round 144 global test acc  91.7526
Round 145 global test acc  91.4845
Round 146 global test acc  90.0103
Round 147 global test acc  91.8557
Round 148 global test acc  92.7835
Round 149 global test acc  90.9897
Round 150 global test acc  91.9588
Round 151 global test acc  91.3918
Round 152 global test acc  90.7938
Round 153 global test acc  91.9175
Round 154 global test acc  92.0825
Round 155 global test acc  92.6082
Round 156 global test acc  91.9897
Round 157 global test acc  91.3814
Round 158 global test acc  91.6804
Round 159 global test acc  92.5464
Round 160 global test acc  91.9794
Round 161 global test acc  91.2784
Round 162 global test acc  90.6598
Round 163 global test acc  91.7010
Round 164 global test acc  92.2784
Round 165 global test acc  91.9381
Round 166 global test acc  91.9175
Round 167 global test acc  92.6082
Round 168 global test acc  91.9588
Round 169 global test acc  91.4845
Round 170 global test acc  89.7629
Round 171 global test acc  91.9072
Round 172 global test acc  92.0928
Round 173 global test acc  91.1959
Round 174 global test acc  91.3608
Round 175 global test acc  92.2268
Round 176 global test acc  90.4433
Round 177 global test acc  90.9278
Round 178 global test acc  92.3299
Round 179 global test acc  92.7010
Round 180 global test acc  91.5773
Round 181 global test acc  92.3711
Round 182 global test acc  92.1649
Round 183 global test acc  91.9175
Round 184 global test acc  91.8866
Round 185 global test acc  92.4433
Round 186 global test acc  92.3196
Round 187 global test acc  91.5361
Round 188 global test acc  91.7113
Round 189 global test acc  92.3505
Round 190 global test acc  92.1649
Round 191 global test acc  91.1134
Round 192 global test acc  91.8247
Round 193 global test acc  92.1753
Round 194 global test acc  92.0000
Round 195 global test acc  92.3918
Round 196 global test acc  92.4948
Round 197 global test acc  91.6392
Round 198 global test acc  92.3196
Round 199 global test acc  92.7526
time : 657.4212620258331
('algorithm', 'MR')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.9)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.05)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cuda', index=0))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7540
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8900
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5815
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5750
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8316
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5399
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7742
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.4747
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.4971
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.4946
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.7615
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.5617
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.4943
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5605
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5700
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.4858
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5996
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7963
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.7620
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5408
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7217
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8417
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.6766
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6288
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4501
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8213
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8108
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.5124
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.5118
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8310
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.6895
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.5917
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.5179
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.5162
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.6753
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7707
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8715
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.8124
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.5993
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7809
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4798
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7732
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.7755
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4714
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6357
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5039
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.5672
